0,TV Samsumg QLED 40 pulgadas,Television 4K de 40,100,12900,0
1,Smart TV Hyundai HYLED3244NiM 32,Television Full HD de 32 pulgadas,100,4000,0
2,Smart TV LG FHD 32LM630BPUB 32,Television LED HD de 32 pulgadas,100,6000,0
3,Detergente liquido Ariel 1.2L,Detergente liquido Ariel revitacolor 1.2L,50,50,1
4,Trapo de Micreofibra,Trapo de Microfibra Limpiar superficies Hogar 40*40cm,20,34.99,2
5,Conjunto de Pijamas para ninos,Pijama de algodon con figuras,30,269.99,3
6,Laptop HUAWEI Matebook D 13 2020,Ryzen 5 - 8GB RAM + 256 SSD,10,17999.99,4
7,Laptop HUAWEI Matebook D 15,Ryzen 5 - 8GB RAM + 1TB SSD,5,21899.99,4
8,IPhone 11 64 GB,Telefono IPhone 11 64 GB color Negro,5,22999.99,5
9,Samsumng Galaxy S20+ 128 GB,Telefono Samsumng Galaxy S20+ 128 GB cosmic gray 8GB RAM,5,19990,5
